Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"Azure AD","Pro","configure-mfa-policies","Configure Multi-Factor Authentication Policies","Common Admin Tasks","Configure per-user MFA settings, trusted IPs, and MFA enforcement policies","Yes"
"Azure AD","Pro","manage-app-consent-policies","Manage Application Consent Policies","Common Admin Tasks","Configure user consent settings, admin consent requests, and permission classifications","Yes"
"Azure AD","Pro","export-signin-logs","Export Sign-in Logs with Filtering","Common Admin Tasks","Export sign-in logs by date, user, application, status with advanced filtering","Yes"
"Azure AD","Pro","configure-named-locations","Configure Named Locations","Common Admin Tasks","Create IP-based and country-based named locations for Conditional Access policies","Yes"
"Azure AD","Pro","manage-aad-roles-administrators","Manage Azure AD Roles and Administrators","Common Admin Tasks","Assign/remove directory roles, list role members, audit administrative access","Yes"
"Azure AD","Pro","configure-sspr","Configure Self-Service Password Reset","Common Admin Tasks","Configure SSPR settings, authentication methods, notifications, and registration enforcement","Yes"
"Azure AD","Pro","export-group-membership","Export Group Membership Report","Reporting","List all groups and their members","No"
"Azure AD","Pro","configure-password-policy","Configure Password Policy","Security & Compliance","Set password expiration days for domain","No"
"Azure AD","Pro","audit-admin-roles","Audit Admin Role Assignments","Security & Compliance","Export all users with administrative roles","No"
"Azure AD","Pro","remove-stale-devices","Remove Stale Devices","Maintenance & Governance","Find and remove devices inactive for specified days","No"
"Azure AD","Pro","export-app-registrations","Export App Registrations","Reporting","List all registered applications and their permissions","No"
"Azure AD","Pro","aad-manage-enterprise-sso","Manage Enterprise Applications SSO","Common Admin Tasks","Configure SAML/OAuth SSO for enterprise applications","Yes"
"Azure AD","Pro","aad-export-audit-logs","Export Audit Logs for Compliance","Common Admin Tasks","Export directory audit logs with activity filtering","Yes"
"Azure AD","Pro","aad-configure-terms-of-use","Configure Terms of Use","Common Admin Tasks","Create and assign terms of use policies to users/groups","Yes"
"Azure AD","Pro","aad-manage-domain-services","Manage Azure AD Domain Services","Common Admin Tasks","Configure managed domain, monitor replication health","Yes"
"Azure Resources","Pro","azure-create-resource-group","Create Resource Group","Resource Management","Create a new Azure Resource Group with optional tags and lock","Yes"
"Azure Resources","Pro","azure-tag-resources","Tag Resources at Scale","Resource Management","Add or update tags across resources in a Resource Group","Yes"
"Azure Resources","Pro","azure-export-resource-inventory","Export Resource Inventory","Resource Management","Export comprehensive inventory of all Azure resources to CSV","Yes"
"Azure Resources","Pro","azure-start-stop-vms","Start/Stop/Restart VMs","Virtual Machines","Perform power operations on Azure Virtual Machines","Yes"
"Azure Resources","Pro","azure-export-vm-inventory","Export VM Inventory","Virtual Machines","Export comprehensive inventory of all Azure Virtual Machines to CSV","Yes"
"Azure Resources","Pro","azure-resize-vm","Resize Virtual Machine","Virtual Machines","Change the size/SKU of an Azure Virtual Machine","Yes"
"Azure Resources","Pro","azure-create-vnet","Create Virtual Network","Networking","Create a new Azure Virtual Network with subnets","Yes"
"Azure Resources","Pro","azure-create-nsg","Create Network Security Group","Networking","Create a Network Security Group with firewall rules","Yes"
"Azure Resources","Pro","azure-create-storage-account","Create Storage Account","Storage","Create a new Azure Storage Account","Yes"
"Azure Resources","Pro","azure-assign-rbac-role","Assign RBAC Role","Identity & Access (RBAC)","Assign an Azure RBAC role to a user or group","Yes"
"Azure Resources","Pro","azure-export-rbac-assignments","Export RBAC Assignments","Identity & Access (RBAC)","Export all RBAC role assignments to CSV","Yes"
"Azure Resources","Pro","azure-cost-report","Export Cost Data","Cost Management","Generate a cost report for Azure resources","Yes"
"Azure Resources","Pro","azure-assign-policy","Assign Azure Policy","Policy & Governance","Assign a built-in Azure Policy to a resource group or subscription","Yes"
"Azure Resources","Pro","azure-enable-diagnostics","Enable Diagnostic Settings","Monitoring & Logging","Enable diagnostic settings on Azure resources","Yes"
"Azure Resources","Pro","azure-apply-resource-lock","Apply Resource Lock","Resource Management","Apply CanNotDelete or ReadOnly lock to prevent accidental changes","Yes"
"Azure Resources","Pro","azure-move-resources","Move Resources Between Resource Groups","Resource Management","Move Azure resources from one resource group to another","Yes"
"Azure Resources","Pro","azure-create-vpn-gateway","Create VPN Gateway","Networking","Create a site-to-site VPN gateway for hybrid connectivity","Yes"
"Azure Resources","Pro","azure-configure-dns-zone","Create DNS Zone with Records","Networking","Create an Azure DNS zone and add DNS records","Yes"
"Azure Resources","Pro","azure-create-budget","Create Cost Budget with Alert","Cost Management","Set up cost budget with email alerts for Azure resources","Yes"
"Azure Resources","Pro","azure-export-cost-analysis","Export Cost Analysis Report","Cost Management","Generate detailed cost analysis report for current month","Yes"
"Azure Resources","Pro","azure-set-policy","Assign Azure Policy","Policy & Governance","Assign a built-in or custom policy to resource group or subscription","Yes"
"Azure Resources","Pro","azure-audit-compliance","Audit Policy Compliance","Policy & Governance","Generate compliance report for assigned Azure policies","Yes"
"Azure Resources","Pro","azure-configure-blob-lifecycle","Configure Blob Lifecycle Management","Storage","Set up automated blob tier transitions and deletion policies","Yes"
"Azure Resources","Pro","azure-backup-storage-account","Configure Storage Account Backup","Storage","Enable blob versioning and soft delete for data protection","Yes"
"Azure Resources","Pro","azure-change-vm-size","Resize Virtual Machine","Virtual Machines","Change VM size to scale compute resources","Yes"
"Azure Resources","Pro","azure-attach-managed-disk","Attach Managed Disk to VM","Virtual Machines","Attach an existing or new managed disk to a virtual machine","Yes"
"Azure Resources","Pro","azure-assign-rbac-multiple","Bulk Assign RBAC Roles","Identity & Access (RBAC)","Assign RBAC roles to multiple users from CSV","Yes"
"Azure Resources","Pro","azure-audit-rbac-assignments","Audit All RBAC Assignments","Identity & Access (RBAC)","Export comprehensive report of all role assignments","Yes"
"Azure Resources","Pro","azure-create-action-group","Create Action Group for Alerts","Monitoring & Logging","Set up email and SMS notifications for Azure alerts","Yes"
"Azure Resources","Pro","azure-export-tags","Export Resource Tags Report","Resource Management","List all resources with their tags","Yes"
"Azure Resources","Pro","azure-set-resource-lock","Set Resource Lock","Resource Management","Prevent accidental deletion by applying resource lock","Yes"
"Azure Resources","Pro","azure-deploy-vmss","Deploy Azure Virtual Machine Scale Sets","Common Admin Tasks","Create and configure VMSS with autoscaling policies for elastic workloads","Yes"
"Azure Resources","Pro","azure-manage-key-vault","Manage Azure Key Vault Secrets","Common Admin Tasks","Create Key Vault, add/retrieve/rotate secrets for secure credential management","Yes"
"Azure Resources","Pro","azure-configure-monitor-alerts","Configure Azure Monitor Alerts","Common Admin Tasks","Create metric and log-based alerts with action groups for proactive monitoring","Yes"
"Azure Resources","Pro","azure-manage-sql-database","Manage Azure SQL Databases","Common Admin Tasks","Create databases, configure firewall rules, and manage DTU/vCore performance tiers","Yes"
"Azure Resources","Pro","azure-deploy-app-service","Deploy Azure App Services","Common Admin Tasks","Create web apps with deployment slots and custom domains for scalable web hosting","Yes"
"Azure Resources","Pro","azure-configure-backup","Configure Azure Backup Policies","Common Admin Tasks","Create Recovery Services vault and configure VM backup policies with retention","Yes"
"Azure Resources","Pro","azure-governance-tags","Manage Azure Resource Tags for Governance","Common Admin Tasks","Apply and audit resource tags for cost allocation, compliance, and resource governance","Yes"
"Azure Resources","Pro","azure-deploy-load-balancer","Deploy Azure Load Balancers","Common Admin Tasks","Create load balancers with backend pools and health probes for high availability","Yes"
"Azure Resources","Pro","azure-cost-management","Configure Azure Cost Management","Common Admin Tasks","Set budgets, create cost alerts, and export cost data for financial governance","Yes"
"Azure Resources","Pro","azure-vnet-peering","Manage Azure Virtual Networks and Peering","Common Admin Tasks","Create VNets, subnets, and configure VNet peering for hub-spoke network topologies","Yes"
"Azure Resources","Pro","azure-configure-site-recovery","Configure Azure Site Recovery","Common Admin Tasks","Set up ASR for VM disaster recovery and replication","Yes"
"Azure Resources","Pro","azure-manage-traffic-manager","Manage Azure Traffic Manager","Common Admin Tasks","Create Traffic Manager profiles and configure endpoints","Yes"
"Azure Resources","Pro","azure-configure-expressroute","Configure Azure ExpressRoute","Common Admin Tasks","Set up dedicated connections to Azure","Yes"
"Azure Resources","Pro","azure-manage-aks","Manage Azure Kubernetes Service (AKS)","Common Admin Tasks","Create AKS clusters and manage node pools","Yes"
"Azure Resources","Pro","azure-configure-front-door","Configure Azure Front Door","Common Admin Tasks","Set up CDN, WAF, and load balancing","Yes"
"Azure Resources","Pro","azure-manage-bastion","Manage Azure Bastion","Common Admin Tasks","Configure secure RDP/SSH access","Yes"
"Azure Resources","Pro","azure-configure-policy","Configure Azure Policy","Common Admin Tasks","Create custom policies and compliance initiatives","Yes"
"SharePoint Online","Pro","spo-export-site-inventory","Export Site Collection Inventory","Site Management","Export list of all SharePoint Online site collections to CSV","Yes"
"SharePoint Online","Pro","spo-export-permissions","Export Site Permissions","Permissions","Export permissions for a specific SharePoint Online site to CSV","Yes"
"SharePoint Online","Pro","spo-export-storage-report","Export Storage Report","Storage","Export storage usage report for all SharePoint Online sites to CSV","Yes"
"SharePoint Online","Pro","spo-export-external-users","Export External Users","Security","Export list of all external users with SharePoint access to CSV","Yes"
"SharePoint Online","Pro","spo-export-sharing-links","Export Sharing Links Report","Sharing","Export all sharing links from a SharePoint site to CSV","Yes"
"SharePoint Online","Pro","spo-create-site","Create Site Collection","Site Management","Create new SharePoint site collection","Yes"
"SharePoint Online","Pro","spo-delete-site","Delete Site Collection","Site Management","Remove SharePoint site collection","Yes"
"SharePoint Online","Pro","spo-restore-site","Restore Deleted Site","Site Management","Recover site from recycle bin","Yes"
"SharePoint Online","Pro","spo-set-quota","Set Site Storage Quota","Storage","Configure site storage limit","Yes"
"SharePoint Online","Pro","spo-add-admin","Add Site Collection Admin","Permissions","Grant admin access to site","Yes"
"SharePoint Online","Pro","spo-remove-admin","Remove Site Collection Admin","Permissions","Revoke admin access from site","Yes"
"SharePoint Online","Pro","spo-disable-external-sharing","Disable External Sharing","Security","Block external access to site","Yes"
"SharePoint Online","Pro","spo-enable-versioning","Enable Document Versioning","Storage","Turn on version history for documents","Yes"
"SharePoint Online","Pro","spo-export-users","Export Site Users","Permissions","List all users with permissions","Yes"
"SharePoint Online","Pro","spo-export-groups","Export Site Groups","Permissions","List SharePoint groups","Yes"
"SharePoint Online","Pro","spo-break-inheritance","Break Permission Inheritance","Permissions","Stop inheriting parent permissions","Yes"
"SharePoint Online","Pro","spo-hub-create","Register Hub Site","Site Management","Convert site to hub","Yes"
"SharePoint Online","Pro","spo-hub-associate","Associate Site to Hub","Site Management","Join site to hub site","Yes"
"SharePoint Online","Pro","spo-set-title","Update Site Title","Site Management","Change site display name","Yes"
"SharePoint Online","Pro","spo-lock-site","Lock Site","Security","Prevent changes to site","Yes"
"SharePoint Online","Pro","spo-unlock-site","Unlock Site","Security","Re-enable site editing","Yes"
"SharePoint Online","Pro","spo-modern-ui","Enable Modern UI","Site Management","Switch to modern experience","Yes"
"SharePoint Online","Pro","spo-search-reindex","Request Search Reindex","Site Management","Trigger full site reindex","Yes"
"SharePoint Online","Pro","spo-audit-permissions","Export Permission Report","Permissions","Detailed permissions audit","Yes"
"SharePoint Online","Pro","spo-bulk-upload","Bulk Upload Files","Storage","Upload folder to library","Yes"
"SharePoint Online","Pro","spo-guest-expiration","Set Guest Link Expiration","Sharing","Configure link expiry days","Yes"
"SharePoint Online","Pro","spo-disable-download","Disable File Downloads","Security","Block downloads for site","Yes"
"SharePoint Online","Pro","spo-export-files","Export File Inventory","Storage","List all files in site","Yes"
"SharePoint Online","Pro","spo-block-filetypes","Block File Types","Security","Prevent upload of extensions","Yes"
"SharePoint Online","Pro","spo-clear-cache","Clear Site Cache","Site Management","Force site cache refresh","Yes"
"SharePoint Online","Pro","spo-configure-sharing-settings","Configure SharePoint Sharing Settings","Common Admin Tasks","Manage external sharing, default link types, and sharing permissions tenant-wide","Yes"
"SharePoint Online","Pro","spo-manage-storage-quotas","Manage Site Collection Storage Quotas","Common Admin Tasks","Set and monitor storage limits for individual site collections","Yes"
"SharePoint Online","Pro","spo-enable-hub-sites","Enable SharePoint Hub Sites","Common Admin Tasks","Create hub sites and associate related sites for improved navigation and governance","Yes"
"SharePoint Online","Pro","spo-configure-retention-policies","Configure Retention Policies for Sites","Common Admin Tasks","Apply retention labels and policies to SharePoint sites for compliance","Yes"
"SharePoint Online","Pro","spo-export-usage-analytics","Export Site Usage Analytics","Common Admin Tasks","Export site visits, file activity, and sharing statistics for reporting","Yes"
"SharePoint On-Prem","Pro","sp-export-web-apps","Export Web Applications","Farm Management","Export list of all SharePoint web applications to CSV","Yes"
"SharePoint On-Prem","Pro","sp-export-site-collections","Export Site Collections","Site Management","Export list of all site collections to CSV","Yes"
"SharePoint On-Prem","Pro","sp-backup-site-collection","Backup Site Collection","Backup & Recovery","Create a backup of a SharePoint site collection","Yes"
"SharePoint On-Prem","Pro","sp-export-content-databases","Export Content Databases","Database Management","Export list of all content databases to CSV","Yes"
"SharePoint On-Prem","Pro","sp-export-service-applications","Export Service Applications","Service Applications","Export list of all service applications to CSV","Yes"
"SharePoint On-Prem","Pro","sp-create-webapp","Create Web Application","Farm Management","Create new SharePoint web app","No"
"SharePoint On-Prem","Pro","sp-extend-webapp","Extend Web Application","Farm Management","Extend web app to new zone","No"
"SharePoint On-Prem","Pro","sp-create-site","Create Site Collection","Site Management","Create new site collection","No"
"SharePoint On-Prem","Pro","sp-delete-site","Delete Site Collection","Site Management","Remove site collection","No"
"SharePoint On-Prem","Pro","sp-backup-farm","Backup Farm","Backup & Recovery","Full farm backup","No"
"SharePoint On-Prem","Pro","sp-restore-farm","Restore Farm","Backup & Recovery","Restore farm from backup","No"
"SharePoint On-Prem","Pro","sp-backup-site","Backup Site Collection","Backup & Recovery","Backup single site","No"
"SharePoint On-Prem","Pro","sp-restore-site","Restore Site Collection","Backup & Recovery","Restore site from backup","No"
"SharePoint On-Prem","Pro","sp-create-contentdb","Create Content Database","Database Management","Add new content database","No"
"SharePoint On-Prem","Pro","sp-detach-contentdb","Detach Content Database","Database Management","Dismount database","No"
"SharePoint On-Prem","Pro","sp-attach-contentdb","Attach Content Database","Database Management","Mount existing database","No"
"SharePoint On-Prem","Pro","sp-set-quota","Set Site Quota","Site Management","Configure site quota template","No"
"SharePoint On-Prem","Pro","sp-enable-features","Enable Site Features","Site Management","Activate site collection features","No"
"SharePoint On-Prem","Pro","sp-disable-features","Disable Site Features","Site Management","Deactivate features","No"
"SharePoint On-Prem","Pro","sp-create-managed-account","Create Managed Account","Farm Management","Register service account","No"
"SharePoint On-Prem","Pro","sp-start-service","Start Farm Service","Farm Management","Start SharePoint service","No"
"SharePoint On-Prem","Pro","sp-stop-service","Stop Farm Service","Farm Management","Stop SharePoint service","No"
"SharePoint On-Prem","Pro","sp-iisreset","IIS Reset","Farm Management","Restart IIS on all servers","No"
"SharePoint On-Prem","Pro","sp-create-service-app","Create Service Application","Service Applications","New service application","No"
"SharePoint On-Prem","Pro","sp-test-contentdb","Test Content Database","Database Management","Check database integrity","No"
"SharePoint On-Prem","Pro","sp-set-logging","Configure Diagnostic Logging","Farm Management","Set ULS log levels","No"
"SharePoint On-Prem","Pro","sp-clear-config-cache","Clear Config Cache","Farm Management","Reset timer service cache","No"
"SharePoint On-Prem","Pro","sp-add-solution","Add Farm Solution","Farm Management","Upload WSP package","No"
"SharePoint On-Prem","Pro","sp-deploy-solution","Deploy Farm Solution","Farm Management","Install WSP to farm","No"
"SharePoint On-Prem","Pro","sp-retract-solution","Retract Farm Solution","Farm Management","Uninstall WSP from farm","No"
"MECM","Pro","create-device-collection","Create Device Collection (Query-based)","Collections & Queries","Create a new device collection with WQL query rules and automatic refresh schedule","Yes"
"MECM","Pro","bulk-add-devices-to-collection","Bulk Add Devices to Collection","Collections & Queries","Add multiple devices to a collection using direct membership from CSV file","Yes"
"MECM","Pro","create-pilot-collection","Create Pilot Collection (N% Sampling)","Collections & Queries","Create a pilot collection with random sampling from a source collection","Yes"
"MECM","Pro","bulk-create-collections-csv","Bulk Create Collections from CSV","Collections & Queries","Create multiple collections from CSV file with names, limiting collections, and queries","Yes"
"MECM","Pro","create-application","Create Application from Installer","Applications & Deployments","Create a new application with install/uninstall commands and detection rules","Yes"
"MECM","Pro","create-deployment","Create Deployment to Collection","Applications & Deployments","Deploy an application or package to one or more collections","Yes"
"MECM","Pro","phased-deployment","Phased Deployment (Pilot → Broad)","Applications & Deployments","Create a phased deployment starting with pilot collection then expanding to broad collection","Yes"
"MECM","Pro","redeploy-failed-devices","Redeploy to Failed Devices","Applications & Deployments","Create a new deployment targeting only devices that failed the original deployment","Yes"
"MECM","Pro","create-adr","Create ADR (Automatic Deployment Rule)","Software Updates","Create an automatic deployment rule for patch management with specified criteria","Yes"
"MECM","Pro","cleanup-old-sugs","Cleanup Old Software Update Groups","Software Updates","Expire and cleanup old software update groups based on age threshold","Yes"
"MECM","Pro","compliance-report","Software Update Compliance Report","Software Updates","Generate compliance report showing top failed updates for a collection","Yes"
"MECM","Pro","force-policy-refresh","Force Client Policy Refresh","Client Management & Health","Force immediate policy refresh on targeted devices","Yes"
"MECM","Pro","repair-client","Repair MECM Client","Client Management & Health","Reinstall/repair Configuration Manager client on devices","Yes"
"MECM","Pro","client-health-check","Export Client Health Dashboard","Client Management & Health","Generate comprehensive client health report","Yes"
"MECM","Pro","clear-client-cache","Clear Client Cache","Client Management & Health","Clear Configuration Manager client cache","Yes"
"MECM","Pro","remote-client-actions","Remote Client Actions","Client Management & Health","Execute remote actions on client devices","Yes"
"MECM","Pro","create-package","Create Package from Source","Packages & Programs","Create a legacy package with program for software distribution","Yes"
"MECM","Pro","distribute-content","Distribute Content to DPs","Packages & Programs","Distribute package/application content to distribution point groups","Yes"
"MECM","Pro","monitor-content-distribution","Monitor Content Distribution Status","Packages & Programs","Check distribution status of content across all distribution points","Yes"
"MECM","Pro","create-boot-image","Create Custom Boot Image","Operating System Deployment","Create and customize WinPE boot image","Yes"
"MECM","Pro","import-driver-package","Import Driver Package","Operating System Deployment","Import and categorize device drivers","Yes"
"MECM","Pro","create-task-sequence","Create OS Deployment Task Sequence","Operating System Deployment","Create operating system deployment task sequence","Yes"
"MECM","Pro","deploy-task-sequence","Deploy Task Sequence to Collection","Operating System Deployment","Deploy OS task sequence with PXE and media options","Yes"
"MECM","Pro","export-hardware-inventory","Export Hardware Inventory Report","Reporting & Inventory","Export detailed hardware inventory for collection devices","Yes"
"MECM","Pro","export-software-inventory","Export Software Inventory Report","Reporting & Inventory","Export installed software inventory","Yes"
"MECM","Pro","run-custom-query","Run Custom WQL Query","Reporting & Inventory","Execute custom WQL query and export results","Yes"
"MECM","Pro","collection-membership-report","Collection Membership Report","Reporting & Inventory","Generate collection membership report","Yes"
"MECM","Pro","configure-maintenance-window","Configure Maintenance Window","Site Configuration & Maintenance","Create maintenance windows for collections to control deployment timing","Yes"
"MECM","Pro","create-boundary-group","Create Boundary Group","Site Configuration & Maintenance","Create boundary group and assign distribution points","Yes"
"MECM","Pro","site-status-monitor","Site Status Health Monitor","Site Configuration & Maintenance","Check MECM site component status and generate health report","Yes"
"MECM","Pro","create-deploy-task-sequence","Create and Deploy Task Sequences","Common Admin Tasks","Create OS deployment task sequences with drivers and deploy to collections","Yes"
"MECM","Pro","manage-software-update-groups","Manage Software Update Groups","Common Admin Tasks","Create software update groups and deploy patches to collections","Yes"
"MECM","Pro","configure-client-settings","Configure Client Settings Policies","Common Admin Tasks","Configure device/user client settings for ConfigMgr clients","Yes"
"MECM","Pro","create-app-deployment-type","Create Application Deployment Types","Common Admin Tasks","Configure detection methods and installation commands for application deployment types","Yes"
"MECM","Pro","manage-dp-groups","Manage Distribution Point Groups","Common Admin Tasks","Create DP groups and distribute content efficiently","Yes"
"MECM","Pro","configure-maintenance-windows","Configure Maintenance Windows","Common Admin Tasks","Set up maintenance windows for collections to control deployment timing","Yes"
"MECM","Pro","deploy-os-image","Deploy Operating System Images","Common Admin Tasks","Deploy WIM/custom OS images to collections using task sequences","Yes"
"MECM","Pro","client-health-remediation","Manage Client Health and Remediation","Common Admin Tasks","Monitor client health, run remediation scripts, and fix common client issues","Yes"
"MECM","Pro","configure-boundary-groups","Configure Boundary Groups","Common Admin Tasks","Create boundaries and boundary groups for client site assignment and content location","Yes"
"MECM","Pro","create-compliance-baseline","Create Custom Compliance Baselines","Common Admin Tasks","Create configuration items and compliance baselines for security and configuration management","Yes"
"MECM","Pro","manage-driver-packages","Manage Driver Packages and Catalogs","Common Admin Tasks","Import drivers, create driver packages, and manage driver catalogs for OS deployment","Yes"
"MECM","Pro","export-collection-membership","Export Collection Membership Reports","Common Admin Tasks","Export detailed collection membership data with device information to CSV","Yes"
"MECM","Pro","clear-client-cache","Clear Client Cache","Client Management & Health","Clear MECM client cache to free disk space","No"
"MECM","Pro","export-hardware-inventory","Export Hardware Inventory","Inventory & Reporting","Export hardware inventory for devices","No"
"MECM","Pro","create-dynamic-collection","Create Dynamic Device Collection","Collections","Create query-based device collection","No"
"MECM","Pro","deploy-os-image","Deploy OS Task Sequence","OS Deployment","Deploy operating system to collection","No"
"MECM","Pro","export-software-inventory","Export Software Inventory","Inventory & Reporting","Export installed software for devices","No"
"MECM","Pro","distribute-content","Distribute Content to DP Group","Content Distribution","Distribute packages to distribution point group","No"
"MECM","Pro","monitor-dp-status","Monitor Distribution Point Status","Content Distribution","Check distribution point health and content status","No"
"MECM","Pro","export-compliance-settings","Export Compliance Settings Report","Compliance Settings","Export compliance baseline results","No"
"MECM","Pro","deploy-baseline","Deploy Compliance Baseline","Compliance Settings","Deploy configuration baseline to collection","No"
"MECM","Pro","export-app-deployment-status","Export Application Deployment Status","Applications & Deployments","Export deployment success/failure statistics","No"
"Exchange Server","Pro","create-mailbox-onprem","Create New Mailbox (User/Shared/Resource)","Mailboxes & Users","Create a new mailbox in Exchange Server on-premises","Yes"
"Exchange Server","Pro","move-mailbox-database","Move Mailbox Between Databases","Mailboxes & Users","Move mailbox to different database with throttling options","Yes"
"Exchange Server","Pro","set-mailbox-protocol-access","Enable/Disable OWA, ActiveSync, POP, IMAP","Mailboxes & Users","Control protocol access for mailboxes (OWA, ActiveSync, POP3, IMAP4)","Yes"
"Exchange Server","Pro","create-dg-onprem","Create Distribution Group","Distribution Groups & Contacts","Create new distribution group with members and moderation settings","Yes"
"Exchange Server","Pro","set-dg-moderation","Set Group Moderation and Delivery Restrictions","Distribution Groups & Contacts","Configure moderation and delivery management for distribution groups","Yes"
"Exchange Server","Pro","create-transport-rule-onprem","Create/Modify Transport Rule","Mail Flow & Transport Rules","Create or modify transport rules for mail flow control","Yes"
"Exchange Server","Pro","manage-accepted-domains","Manage Accepted Domains","Mail Flow & Transport Rules","Add or configure accepted domains for the Exchange organization","Yes"
"Exchange Server","Pro","create-mailbox-database","Create Mailbox Database","Database & DAG Management","Create a new mailbox database on an Exchange server","Yes"
"Exchange Server","Pro","mount-dismount-database","Mount/Dismount Database","Database & DAG Management","Mount or dismount a mailbox database","Yes"
"Exchange Server","Pro","dag-replication-health","Check DAG Replication Health","Database & DAG Management","Monitor Database Availability Group replication status and health","Yes"
"Exchange Server","Pro","purge-disconnected-mailboxes","Purge Disconnected Mailboxes","Maintenance & Hygiene","Find and purge disconnected mailboxes from database","Yes"
"Exchange Server","Pro","enable-mailbox-audit-onprem","Enable Mailbox Auditing Globally","Security & Compliance","Enable mailbox auditing for all mailboxes in the organization","Yes"
"Exchange Server","Pro","database-size-report","Mailbox Database Size Report","Reporting & Inventory","Generate comprehensive database size and growth reports","Yes"
"Exchange Server","Pro","transport-queue-monitoring","Transport Queue Length Monitoring","Reporting & Inventory","Monitor transport queue lengths and identify mail flow issues","Yes"
"Exchange Server","Pro","exchange-service-control","Start/Stop Exchange Services","Server & Service Management","Gracefully start or stop Exchange services on a server","Yes"
"Exchange Server","Pro","export-database-sizes","Export Database Sizes Report","Database Management","List all mailbox databases and their sizes","Yes"
"Exchange Server","Pro","configure-database-backup","Configure Database Backup Settings","Database Management","Set circular logging and backup schedule","Yes"
"Exchange Server","Pro","test-mail-flow","Test Mail Flow","Mail Flow","Send test message to verify mail flow","Yes"
"Exchange Server","Pro","export-queue-stats","Export Queue Statistics","Mail Flow","Report on message queues and delivery status","Yes"
"Exchange Server","Pro","configure-database-maintenance","Configure Database Maintenance Schedule","Database Management","Set online maintenance schedule for database defragmentation","Yes"
"Exchange Server","Pro","create-database-availability-group","Create Database Availability Group (DAG)","DAG & High Availability","Create a new Database Availability Group for high availability","Yes"
"Exchange Server","Pro","add-database-copy","Add Database Copy to DAG","DAG & High Availability","Add a passive copy of a mailbox database to another server in the DAG","Yes"
"Exchange Server","Pro","update-database-copy-seed","Seed/Reseed Database Copy","DAG & High Availability","Manually seed or reseed a database copy","Yes"
"Exchange Server","Pro","request-exchange-certificate","Request and Install Exchange Certificate","Certificates & Virtual Directories","Generate CSR, request certificate from CA, and install on Exchange server","Yes"
"Exchange Server","Pro","configure-owa-virtual-directory","Configure OWA Virtual Directory","Certificates & Virtual Directories","Configure Outlook on the Web (OWA) virtual directory URLs and authentication","Yes"
"Exchange Server","Pro","create-send-connector","Create Send Connector","Transport & Connectors","Create an SMTP send connector for outbound mail routing","Yes"
"Exchange Server","Pro","create-receive-connector","Create Receive Connector","Transport & Connectors","Create a receive connector for inbound SMTP mail","Yes"
"Exchange Server","Pro","set-server-maintenance-mode","Put Server into Maintenance Mode","Maintenance & Health","Safely put Exchange server into maintenance mode for patching or maintenance","Yes"
"Exchange Server","Pro","enable-mrs-proxy","Enable MRS Proxy for Migrations","Maintenance & Health","Enable Mailbox Replication Service (MRS) Proxy for cross-forest migrations","Yes"
"Exchange Server","Pro","configure-dag-network-compression","Configure DAG Network Compression","High Availability","Configure network compression and encryption for DAG replication traffic","Yes"
"Exchange Server","Pro","configure-mailbox-database-circular-logging","Configure Mailbox Database Circular Logging","Database Management","Enable or disable circular logging for mailbox databases","Yes"
"Exchange Server","Pro","configure-send-receive-connectors-bulk","Configure Multiple Send/Receive Connectors","Mail Flow","Bulk configure send and receive connectors for mail routing","Yes"
"Exchange Server","Pro","configure-accepted-domains-bulk","Configure Multiple Accepted Domains","Mail Flow","Add and configure multiple accepted domains for the Exchange organization","Yes"
"Exchange Server","Pro","configure-content-filter-agent","Configure Content Filter Anti-Spam Settings","Security","Configure content filtering and SCL thresholds for anti-spam protection","Yes"
"Exchange Server","Pro","configure-mailbox-audit-retention","Configure Mailbox Audit Log Retention","Compliance & Auditing","Set mailbox audit log age limit for compliance and retention policies","Yes"
"Exchange Server","Pro","configure-outlook-anywhere","Configure Outlook Anywhere (RPC over HTTP)","Client Access","Enable and configure Outlook Anywhere for remote client access","Yes"
"Exchange Server","Pro","configure-address-list-segmentation","Configure Address List Segmentation (ABP)","Organization Configuration","Create Address Book Policy for multi-tenant address list segmentation","Yes"
"Hyper-V","Pro","hyperv-install-role","Install Hyper-V Role","Host Configuration","Install and configure the Hyper-V role on a Windows Server","Yes"
"Hyper-V","Pro","hyperv-create-vswitch","Create Virtual Switch","Host Configuration","Create a Hyper-V virtual switch (External/Internal/Private)","Yes"
"Hyper-V","Pro","hyperv-create-vm","Create Virtual Machine","VM Lifecycle","Create a new Hyper-V virtual machine","Yes"
"Hyper-V","Pro","hyperv-start-stop-vm","Start/Stop VMs","VM Lifecycle","Perform power operations on Hyper-V virtual machines","Yes"
"Hyper-V","Pro","hyperv-export-vm","Export Virtual Machine","VM Lifecycle","Export a Hyper-V VM for backup or migration","Yes"
"Hyper-V","Pro","hyperv-create-vhd","Create Virtual Hard Disk","Storage","Create a new VHDX file","Yes"
"Hyper-V","Pro","hyperv-resize-vhd","Resize Virtual Hard Disk","Storage","Expand a VHDX file","Yes"
"Hyper-V","Pro","hyperv-create-checkpoint","Create VM Checkpoint","Checkpoints","Create a checkpoint (snapshot) of a virtual machine","Yes"
